"name","total_jobs","analyst_jobs","scientist_jobs","machine_learning_jobs","cloud_jobs","software_jobs","other_engineer_jobs"
"JP Morgan Chase","158","84","33","1","2","17","21"
"Randstad Technologies","158","75","30","0","0","0","53"
"Pinterest","158","17","129","4","0","6","2"
"BBVA","157","28","112","1","0","2","14"
"MongoDB","157","50","14","2","39","46","6"
"Peoplebank","157","55","19","3","1","17","62"
"Archer Recruitment","157","34","42","5","4","15","57"
"Thomson Reuters","156","32","55","12","3","9","45"
"US Tech Solutions","156","72","53","1","0","2","28"
"Rockwell Automation","155","49","25","2","5","28","46"
"United Overseas Bank","155","80","36","10","0","6","23"
"Munich Re","154","49","65","2","1","1","36"
"Optum","154","57","47","0","0","6","44"
"Reply","154","25","31","6","5","5","82"
"Staffigo Technical Services, LLC","154","154","0","0","0","0","0"
"TUI","153","60","13","3","14","4","59"
"Tata Group","153","23","32","4","2","8","84"
"Dimension Data","153","20","9","3","33","57","31"
"Johns Hopkins University","153","122","17","0","0","0","14"
"Airwallex","151","20","85","3","0","3","40"
"Arcadis","151","72","27","0","3","18","31"
"Meta Inc","151","14","89","0","0","1","47"
"StartupJobs","150","36","26","11","8","27","42"
"LMI","150","24","103","0","0","1","22"
"GFT Technologies SE","149","21","18","7","15","20","68"
"Ambition","149","92","23","0","3","1","30"
"Walters People","149","79","11","0","8","8","43"
"ALTEN","149","44","27","1","3","5","69"
"CareerValue BV","149","43","54","4","4","9","35"
"Relativity","148","45","6","1","12","64","20"
"Allianz","148","63","40","2","1","2","40"
"Business & Decision","148","52","34","0","7","3","52"
"Lumen","147","59","66","0","0","6","16"
"Expedia Group","147","18","53","7","0","8","61"
"Workforce Australia for Individuals","147","16","18","15","6","22","70"
"IKEA","147","60","34","2","1","5","45"
"Columbia University","147","123","19","0","0","1","4"
"dentsu","146","39","40","3","8","9","47"
"BearingPoint","146","40","42","0","2","1","61"
"U.S. Bank","145","100","24","2","0","3","16"
"TIKTOK PTE. LTD.","145","23","50","23","1","12","36"
"Steneral Consulting","145","63","26","1","0","0","55"
"E-Works","145","78","48","0","0","0","19"
"ByteDance","145","50","43","3","0","4","45"
"Kenvue","144","83","44","2","1","1","13"
"Amadeus","144","42","18","2","1","29","52"
"ICONMA","144","105","17","1","0","2","19"
"Visser & Van Baars","143","38","12","4","0","0","89"
"Huxley","143","47","16","1","0","2","77"
"OptimHire","143","3","18","1","2","5","114"
"Dynatrace","143","42","34","16","5","22","24"
"Lorien","143","30","27","0","0","2","84"
"Emonics LLC","143","38","32","3","4","3","63"
"Chewy","143","29","68","3","0","0","43"
"Workato","142","50","27","14","0","0","51"
"IT Pros","142","79","30","0","0","2","31"
"Acadia Technologies, Inc.","142","83","51","0","0","1","7"
"Singtel Group","141","30","31","9","10","13","48"
"Morgan Stanley","141","69","29","0","0","1","42"
"amazon","141","24","92","0","2","6","17"
"Procom","141","75","8","0","1","5","52"
"Energy Jobline","141","40","30","1","3","5","62"
"beBee Professionals","141","107","8","6","2","1","17"
"Scalo Sp. z o.o.","141","40","25","2","3","1","70"
"AIA","140","62","50","2","2","3","21"
"Sportradar","140","26","28","3","2","51","30"
"Astek","139","10","14","0","1","1","113"
"TD SYNNEX","139","101","13","0","5","15","5"
"Thelocal","139","47","50","1","1","4","36"
"University of Florida","139","84","48","0","0","3","4"
"Farfetch","139","39","40","19","5","8","28"
"Boehringer Ingelheim","139","17","84","0","0","1","37"
"Nestle","138","68","52","2","2","2","12"
"Falabella Equipo Corporativo","138","52","23","11","1","28","23"
"The Coca-Cola Company","138","60","19","3","3","3","50"
"Lockheed Martin Corporation","138","58","64","0","3","2","11"
"Dellent","137","40","19","0","0","2","76"
"Booking.com","137","53","22","8","1","13","40"
"Boeing","137","37","61","3","1","9","26"
"BCG, Boston Consulting Group","137","72","27","0","1","7","30"
"Banco Santander","137","64","31","1","2","11","28"
"National Grid","137","62","51","0","0","0","24"
"Horizon Therapeutics","137","29","74","0","0","0","34"
"CI&T","137","26","42","3","0","6","60"
"Glovo","137","62","49","2","1","9","14"
"Eurofins","137","45","34","1","6","9","42"
"Dropbox","137","9","100","2","0","9","17"
"Baltic Training Services Limited","136","136","0","0","0","0","0"
"TotalEnergies","136","62","52","0","1","2","19"
"Dassault Systèmes","136","49","56","3","2","6","20"
"Vaco","135","46","13","0","2","0","74"
"Moyyn","135","79","56","0","0","0","0"
"Providence Health & Services","135","87","20","1","0","2","25"
"Grid Dynamics","135","21","30","2","5","15","62"
"Cox Enterprises","135","52","47","0","1","6","29"
"Pôle Emploi","135","63","49","0","1","6","16"
"Maxgen Technologies Private Limited","135","58","73","0","0","4","0"
"ZEISS","135","34","45","17","3","6","30"
"Qureos","135","84","29","1","2","3","16"
"Collabera Digital","134","35","19","1","1","5","73"
"Nike","134","16","11","9","0","14","84"
"Sogeti","134","18","18","2","2","3","91"
"Telenet","134","71","16","0","4","0","43"
